R,G,B,Plant,type,PPFD,Time(hr),Time(day),Dry weight (g)
90,0,10,Barley,1,200,12,15,21.66
66.6667,16.6667,16.6667,Barley,1,200,12,15,24.42
100,0,0,Artichoke (cardoon),2,236.54,8,30,0.78
100,0,0,Artichoke (GreenGlobe),2,236.54,8,30,0.62
100,0,0,Artichoke (violetto),2,236.54,8,30,0.6
0,0,100,Artichoke (cardoon),2,41.14,8,30,0.11
0,0,100,Artichoke (GreenGlobe),2,41.14,8,30,0.15
0,0,100,Artichoke (violetto),2,41.14,8,30,0.099
88.8889,0,11.1111,Chinese Kale,2,120,12,34,3.6
66.6667,0,33.3333,Chinese Kale,2,120,12,34,2.6
0,0,100,Lettuce ,2,200,12,20,0.62
80,0,20,Lettuce ,2,200,12,20,1.78
88.8889,0,11.1111,Lettuce ,2,200,12,20,3.44
92.3077,0,7.6923,Lettuce ,2,200,12,20,2.78
100,0,0,Lettuce ,2,200,12,20,3.43
0,0,100,Lettuce ,2,200,12,20,1.03
80,0,20,Lettuce ,2,200,12,20,4.06
88.8889,0,11.1111,Lettuce ,2,200,12,20,6.06
92.3077,0,7.6923,Lettuce ,2,200,12,20,5.37
100,0,0,Lettuce ,2,200,12,20,4.06
16.6667,0,83.3333,Lettuce ,2,90,16,20,0.44
25,0,75,Lettuce ,2,90,16,20,0.46
50,0,50,Lettuce ,2,90,16,20,0.55
75,0,25,Lettuce ,2,90,16,20,0.26
83.3333,0,16.6667,Lettuce ,2,90,16,20,0.25
66.6667,16.6667,16.6667,Purple basil,2,180,12,65,1.82
50,25,25,Purple basil,2,180,12,65,1.19
33.3333,3.3333,33.3333,Purple basil,2,180,12,65,0.62
66.6667,16.6667,16.6667,Green basil,2,180,12,65,7.94
50,25,25,Green basil,2,180,12,65,5.92
33.3333,33.3333,33.3333,Green basil,2,180,12,65,4.66
66.66,0,33.33,Brassica napus,1,400,12,15,1.22
66.66,0,33.33,Brassica napus,1,300,12,15,0.93
66.66,0,33.33,Brassica napus,1,200,12,15,0.13
100,0,0,Vanilla,1,25,16,60,0.1256
0,0,100,Vanilla,1,25,16,60,0.1343
50,0,50,Vanilla,1,25,16,60,0.2758
0,0,100,Chinese kale,2,50,12,10,5.17
0,0,100,Chinese kale,2,100,12,10,5.41
0,0,100,Chinese kale,2,150,12,10,4.2
100,0,0,Chinese Cabbage,2,80,1,60,0.73
0,0,100,Chinese Cabbage,2,80,1,60,0.49
50,0,50,Chinese Cabbage,2,80,1,60,0.53
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
