R,G,B,PPFD,Time(hr),Time(day),Dry weight (g),type,Plant
90,0,10,200,12,15,21.66,1,Barley
66.6667,16.6667,16.6667,200,12,15,24.42,1,Barley
100,0,0,236.54,8,30,0.78,2,Artichoke (cardoon)
100,0,0,236.54,8,30,0.62,2,Artichoke (GreenGlobe)
100,0,0,236.54,8,30,0.6,2,Artichoke (violetto)
0,0,100,41.14,8,30,0.11,2,Artichoke (cardoon)
0,0,100,41.14,8,30,0.15,2,Artichoke (GreenGlobe)
0,0,100,41.14,8,30,0.099,2,Artichoke (violetto)
88.8889,0,11.1111,120,12,34,3.6,2,Chinese Kale
66.6667,0,33.3333,120,12,34,2.6,2,Chinese Kale
0,0,100,200,12,20,0.62,2,Lettuce 
80,0,20,200,12,20,1.78,2,Lettuce 
88.8889,0,11.1111,200,12,20,3.44,2,Lettuce 
92.3077,0,7.6923,200,12,20,2.78,2,Lettuce 
100,0,0,200,12,20,3.43,2,Lettuce 
0,0,100,200,12,20,1.03,2,Lettuce 
80,0,20,200,12,20,4.06,2,Lettuce 
88.8889,0,11.1111,200,12,20,6.06,2,Lettuce 
92.3077,0,7.6923,200,12,20,5.37,2,Lettuce 
100,0,0,200,12,20,4.06,2,Lettuce 
16.6667,0,83.3333,90,16,20,0.44,2,Lettuce 
25,0,75,90,16,20,0.46,2,Lettuce 
50,0,50,90,16,20,0.55,2,Lettuce 
75,0,25,90,16,20,0.26,2,Lettuce 
83.3333,0,16.6667,90,16,20,0.25,2,Lettuce 
66.6667,16.6667,16.6667,180,12,65,1.82,2,Purple basil
50,25,25,180,12,65,1.19,2,Purple basil
33.3333,3.3333,33.3333,180,12,65,0.62,2,Purple basil
66.6667,16.6667,16.6667,180,12,65,7.94,2,Green basil
50,25,25,180,12,65,5.92,2,Green basil
33.3333,33.3333,33.3333,180,12,65,4.66,2,Green basil
66.66,0,33.33,400,12,15,1.22,1,Brassica napus
66.66,0,33.33,300,12,15,0.93,1,Brassica napus
66.66,0,33.33,200,12,15,0.13,1,Brassica napus
100,0,0,25,16,60,0.1256,1,Vanilla
0,0,100,25,16,60,0.1343,1,Vanilla
50,0,50,25,16,60,0.2758,1,Vanilla
0,0,100,50,12,10,5.17,2,Chinese kale
0,0,100,100,12,10,5.41,2,Chinese kale
0,0,100,150,12,10,4.2,2,Chinese kale
100,0,0,80,1,60,0.73,2,Chinese Cabbage
0,0,100,80,1,60,0.49,2,Chinese Cabbage
50,0,50,80,1,60,0.53,2,Chinese Cabbage
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
